key,value
bulgaria,"[-0.10074455  0.03982842  0.10234357  0.06714505 -0.03357122  0.12927397
  0.09645669  0.03005675 -0.21290569 -0.01464582 -0.01431501 -0.02363574
 -0.0994307  -0.1070412   0.02821493  0.09906059 -0.04910262  0.00602078
  0.08817893 -0.04660774  0.01465699 -0.16208436  0.13563262  0.01170755
 -0.12442467 -0.11951458 -0.05365603 -0.06969397 -0.00816977 -0.13706806
  0.03723402  0.00504154 -0.02150509 -0.00873897  0.08487827 -0.01774201
 -0.10533905  0.03629931  0.08504423 -0.08584783  0.05928886 -0.00074316
  0.10631965 -0.00979046  0.02938033 -0.01965562 -0.11872651 -0.08248455
  0.0484693  -0.05002541 -0.08197829 -0.08276366  0.02317964  0.03898866
  0.13326313  0.01352026  0.10613202  0.09178746  0.05496125 -0.04622472
  0.02905918 -0.01037245 -0.04376026 -0.00191603  0.0925872   0.09708921
 -0.01083446 -0.03039328  0.09342812 -0.02257027  0.06848476  0.0918254
  0.03815946 -0.15009446  0.06418838  0.02367365  0.02847581  0.04634108
  0.02608276  0.02273392  0.075265   -0.02562448  0.04126549 -0.04473792
  0.01796889 -0.03193908 -0.03378594 -0.14168139 -0.10176639  0.05877405
  0.12348346 -0.11427251  0.14209548 -0.05385806 -0.10643845 -0.02185718
  0.02054195 -0.15394878 -0.0833436   0.02594737  0.03713898  0.06424455
  0.10155923 -0.01594974  0.01556894 -0.12369128  0.01420627 -0.00675876
 -0.0823908   0.09132472 -0.06873973  0.09780274  0.07153729 -0.18660171
 -0.02766168  0.1212498  -0.0905964   0.09998287  0.1476904  -0.10097512
 -0.04804987  0.08061768 -0.00429667 -0.12442059  0.02277477 -0.02667836
 -0.03853117 -0.0813771  -0.00217729  0.07565679  0.00355775 -0.02506896
 -0.11921618 -0.1176469  -0.12484679 -0.01375247  0.03848661 -0.09853611
  0.01266911  0.04166706  0.02023034 -0.11281276 -0.14333858  0.00800971
  0.002315   -0.02126952  0.04862844  0.00790207 -0.12315226  0.02823159
 -0.00541426 -0.0057743  -0.0138343   0.06327984 -0.00532109  0.07011365
 -0.05961197  0.17118542  0.08052658 -0.0129285  -0.07612521  0.0353976
 -0.02584925 -0.00732941  0.02944416 -0.03273312  0.00541423  0.03310135
  0.17146298 -0.05965983 -0.12519932  0.01112011  0.01469088  0.11080588
  0.04877131  0.03683157 -0.12558839 -0.00029101 -0.1326472   0.00441027
 -0.18475994 -0.00830496  0.00217818  0.07428306  0.1589671  -0.08211291
  0.05544686  0.02423058  0.11885552  0.05812484 -0.09179798  0.05077645
 -0.0439006  -0.00878693 -0.00293856 -0.1131631   0.10049754 -0.08833227
  0.05381523 -0.09478464]"
bulgarian,"[-0.03626202  0.04711756 -0.04791394 -0.13825047  0.08953801  0.06892155
 -0.07894811  0.07296693 -0.13345762  0.00694065  0.08502761  0.00390846
 -0.22893296 -0.08847786  0.05779101  0.10729305  0.06428805 -0.02994045
  0.12997937  0.07443368  0.03383026  0.04885361  0.11332846 -0.09187104
 -0.03457731 -0.14320469  0.13810031  0.01884881 -0.03955368 -0.06686926
  0.04492633  0.01576713  0.04704805 -0.00024853  0.07410629  0.08848519
  0.00775124  0.09922037 -0.01735856  0.09551005  0.11467493  0.10169082
  0.04472465  0.18429856  0.16861436 -0.10578269  0.10671958 -0.11791856
 -0.0454374   0.02160775  0.01710157 -0.09962464 -0.00696231  0.20575464
  0.08225792 -0.02885161 -0.12281659 -0.04503067  0.0013157   0.03515092
  0.0549138   0.00195185 -0.03717839 -0.00899474  0.14780599  0.13065192
  0.00742682 -0.0078861   0.14350212 -0.14695464  0.15672664  0.11166049
  0.05939956 -0.07413644  0.13091333 -0.0733396  -0.02253635  0.13055873
  0.07083395 -0.04457435  0.1622917   0.0494279  -0.09173964 -0.04499634
  0.08872161 -0.09035785  0.05710088  0.00708577 -0.12307465  0.03324135
 -0.03558781 -0.15426826  0.16030742 -0.12839773 -0.08966504  0.07828916
  0.1491757  -0.16022103 -0.09338638  0.14426377  0.13216347  0.15400453
 -0.14108808  0.04251219  0.01955109 -0.11764452  0.02240461  0.13056575
  0.00197076  0.18710148 -0.12279452 -0.01482313 -0.12844405 -0.01468636
 -0.06497891  0.00835926 -0.06206532  0.06790204  0.07024825  0.00806167
  0.0688032   0.07476167 -0.12890032 -0.03662904 -0.05418001 -0.06598787
 -0.08450303 -0.00730021  0.08674545  0.00401996  0.03402803  0.11152428
  0.13664256 -0.13095859  0.00749039  0.0614178  -0.0567147   0.13749571
  0.03609341  0.05878884  0.14149877 -0.09870484  0.0468839   0.09534146
 -0.09412569  0.08724702 -0.09776492  0.15708014 -0.09841145 -0.03265397
  0.02849938 -0.07385544  0.01466553  0.06259058  0.03334207  0.11326605
 -0.05308238 -0.04256187 -0.10791523 -0.13921359  0.00078621  0.11771062
  0.12290099  0.09215273 -0.07825251 -0.00350434  0.03103984  0.05672511
 -0.10473638 -0.02490812 -0.08887915  0.07286879  0.04137469 -0.00705151
  0.1149995  -0.0170715  -0.13638754 -0.03943251 -0.1477366  -0.090941
  0.0504037   0.01331219  0.0194725   0.12984948 -0.01262264 -0.06568739
  0.03594863 -0.088911    0.13612303  0.0603029  -0.00319783 -0.13645913
  0.02093717  0.12041458 -0.02748031  0.06882047  0.01361732 -0.05994773
  0.07086433 -0.03693538]"
българия,"[ 0.00040208  0.09805503  0.07513153 -0.14075163  0.08332785  0.03386833
  0.20083687  0.10583323 -0.13417263  0.07336374  0.06135011 -0.13853619
 -0.12035858 -0.0783449   0.1370111   0.09105303  0.03920311 -0.10749689
  0.04984469  0.10785118  0.10280295 -0.03542124  0.00875299 -0.11608277
 -0.02729347 -0.03935945 -0.07324013 -0.0452548   0.14689355  0.05881688
 -0.07270234 -0.05166174  0.05088459 -0.00103489 -0.0485564  -0.00950633
  0.01910757  0.15066524  0.04865672 -0.08226807  0.02063204 -0.01306987
  0.05320537  0.217496    0.14563935 -0.0675766  -0.10098791  0.0266509
  0.02094661  0.05131099  0.0981812  -0.02103529  0.04875419  0.11076628
  0.02309404  0.00671126  0.01314479 -0.13106753  0.00362135 -0.12711097
  0.17882732 -0.02948134 -0.05232088  0.08697693  0.09030078  0.14211956
 -0.13782008 -0.01728143  0.02587084 -0.05905766 -0.07952823  0.12566823
  0.19713193 -0.03179958  0.01004506  0.04248887  0.09487383  0.10712387
 -0.04885689  0.18012848  0.11685607  0.0546368  -0.10131715 -0.09207366
  0.04215712 -0.04423778 -0.01190272 -0.09057866 -0.10991709  0.13516732
  0.08263534 -0.10315081  0.07653902 -0.0770187  -0.07015857  0.09507948
  0.1034051  -0.030994    0.03600935 -0.00896321  0.13753895  0.15077536
 -0.07529038  0.13679932  0.0255931  -0.1832865  -0.01990494  0.05832685
 -0.01545418  0.07826527 -0.09778376  0.04480025  0.10003096  0.10325022
 -0.03869627 -0.03369213  0.01568498 -0.05146237  0.04957234  0.15633462
  0.01237162  0.01362842 -0.12160818 -0.03898075 -0.03740102 -0.0979367
  0.00493926  0.04921929  0.1379712   0.04281596  0.07185528  0.05697762
  0.06269509 -0.06728948 -0.0213203   0.03919426 -0.04044154  0.08988498
  0.0034935  -0.01835968  0.05937395  0.04312762 -0.08411295  0.08452147
  0.03273007  0.02690667  0.13805448  0.04919699 -0.0438041   0.11556307
 -0.02544191  0.00944993  0.01461314  0.00814288  0.08741912  0.08614081
 -0.04709955  0.17876033  0.06093724 -0.02124221  0.01869601  0.04067982
  0.10451829  0.01105511  0.10637172 -0.10647739  0.11126123  0.09582846
  0.02495276 -0.05543252  0.03819496  0.02285621 -0.03960402  0.04261855
 -0.0662834  -0.00436825 -0.05396931 -0.15218072 -0.00845776  0.07320481
  0.02839824 -0.02247117 -0.01610827  0.04010323  0.09262224  0.00709269
  0.09511179  0.034762    0.07766446  0.06859296 -0.07341183  0.01956291
 -0.040389   -0.11086326 -0.01355567  0.02254466  0.03230597 -0.09051421
 -0.14186276 -0.01626028]"
romanized,"[-0.01384889  0.09574135  0.01127062 -0.12563324  0.00799462 -0.07578073
  0.12270319  0.04212404 -0.1073678   0.07392225  0.03814272 -0.12442845
 -0.0452415  -0.03910847  0.162854   -0.00939168 -0.04600765 -0.10432421
  0.15377884  0.07980741  0.00371378  0.03934976  0.03197671 -0.07694327
 -0.15214835 -0.02585042  0.00460891 -0.06832021  0.09161635 -0.01689352
  0.06347632 -0.11374271  0.06717797  0.06042594  0.07397442  0.01332412
 -0.05329176  0.20634496  0.16469263 -0.12567708  0.02586649  0.08645285
 -0.03341283  0.10518109  0.0985595  -0.04830741  0.04710998  0.03781816
  0.01233191 -0.05998416  0.02729043  0.0791183   0.07986838  0.03876246
  0.04754725 -0.14598462  0.06030688  0.02227874  0.11646373 -0.11282481
  0.12817265 -0.01389762  0.01997195 -0.02928674  0.11353894  0.19105218
 -0.15256965  0.06088713  0.08210662 -0.11893354 -0.04867468  0.12037716
  0.17497297 -0.06763767  0.17879604  0.08728728  0.01248519  0.12744078
 -0.00685991  0.14000343  0.02989959 -0.02904433 -0.06535027 -0.06044399
  0.10303536 -0.009101    0.03528322 -0.08076181 -0.12926304  0.10612443
  0.05683349 -0.10978505  0.15441129 -0.14096065 -0.03606035  0.1591982
  0.09518972 -0.09825601 -0.01916394 -0.03845933 -0.00688447  0.11049336
 -0.05612107  0.1451967  -0.00923592 -0.15222764  0.01463796  0.0185739
  0.0633214   0.10382848 -0.05906112  0.06910293  0.14747731  0.01553266
  0.05742917  0.0074911  -0.02176832 -0.04616343  0.13429397  0.10171827
 -0.0077526  -0.02931511 -0.16681263 -0.13600168  0.00452352 -0.11130017
  0.05289061  0.01827561  0.1228057   0.05419573  0.08143731  0.09318701
  0.09318466 -0.06253869 -0.01852811  0.03825481 -0.01136231  0.09932036
  0.003443   -0.12810892  0.13426508  0.11599991 -0.07957616  0.0869261
  0.08273678  0.00701941  0.09707648  0.0619017  -0.15971889  0.10887758
 -0.05804029  0.04682087  0.04401453  0.09044382  0.12192659  0.01230268
 -0.053223    0.1629811   0.00105792 -0.06790206 -0.03688247  0.01991138
  0.10151867  0.11297134  0.02023886 -0.14183807  0.13147736  0.05364138
 -0.03832114 -0.07059912  0.08809189 -0.02328079 -0.00610386  0.10487129
 -0.06120294 -0.14333247 -0.08842828 -0.09717475  0.01457325  0.06674692
  0.05829913 -0.12344201 -0.06629469 -0.01581068  0.1503456   0.04467793
  0.09692455 -0.03673363  0.05258232  0.08813467  0.02165232  0.02188834
 -0.00237745 -0.04548542  0.06544959 -0.0783831  -0.0146656  -0.0483856
 -0.13389419 -0.01615697]"
balgariya,"[ 0.07691938 -0.01311918 -0.05102424 -0.03772398 -0.02562451  0.06497607
  0.03516794  0.03353792 -0.00082554 -0.06714638  0.01761232 -0.03577846
 -0.03407998 -0.10553572  0.05301892 -0.06551781  0.02474635  0.020581
 -0.00434929  0.05123371  0.05380947  0.03367151 -0.00233861 -0.0106088
 -0.01643367  0.01091805  0.14883825 -0.06549311  0.02559585 -0.0593074
  0.05840432 -0.00560393 -0.01070098  0.01170526  0.01899599  0.09904061
 -0.08764135  0.13269806 -0.0106751  -0.02604318  0.0766147  -0.02247621
  0.0520912   0.03682138  0.09314178  0.04240564  0.09180652  0.13001339
  0.02440367 -0.01660579  0.00422014 -0.00491302 -0.04907449  0.02988485
  0.06940562 -0.07332242  0.06576772  0.02813314  0.01344951 -0.04261345
  0.03999267  0.05827468 -0.05174214  0.01622967  0.02479041  0.07822917
 -0.10043217 -0.05653552 -0.00759329  0.02956573  0.00062342  0.04895426
  0.05340241 -0.0024899  -0.05505399 -0.00726466  0.04392646  0.0782155
  0.0905993   0.07990881  0.01292465 -0.1465867  -0.02951164 -0.03282784
  0.09994925  0.01079515 -0.01240876 -0.01681945 -0.04609067  0.04650552
  0.00660205 -0.01331894 -0.00189266 -0.08424921 -0.00932528  0.03493851
  0.10351124 -0.04714508 -0.01948179  0.08783221 -0.01288388  0.02878643
  0.07807246 -0.05923451 -0.07170445 -0.01902125 -0.01935881 -0.09159093
  0.00283791  0.02230981  0.05524354  0.02212837  0.05287509 -0.05349916
  0.05437495 -0.05458919 -0.0603362   0.1350028   0.0047707  -0.01629457
  0.0896141  -0.09813726 -0.02777491 -0.07424784 -0.08400007  0.00114395
 -0.00050511 -0.07674854  0.07507399  0.03684493 -0.00936069  0.02173791
  0.08280252  0.09490764 -0.0788804   0.05398959  0.07053909  0.07078825
  0.04069072  0.05502625  0.00494434  0.01984142 -0.02924701 -0.06187844
 -0.03254296 -0.06487822  0.08879802  0.01915529  0.0261104   0.01733208
  0.0671619   0.01867566  0.12849069 -0.05748311 -0.0283425  -0.0219385
  0.0218508   0.03119553 -0.05905586  0.00862906 -0.09621539 -0.15538445
  0.05970798  0.05671611  0.04991791 -0.01438197  0.00576268  0.06544683
  0.01282324 -0.09223939 -0.02381624 -0.03225081  0.01302271  0.02699311
  0.10817678  0.01848454 -0.00258473 -0.05735869  0.00084082 -0.17839517
 -0.03014989  0.10048811 -0.05183493  0.07076161  0.02125898 -0.10836155
 -0.0139196   0.08285687  0.05053696 -0.02364435  0.08934959 -0.04767812
  0.04805439  0.14384761 -0.04075333  0.00383907 -0.12274019  0.04144103
 -0.0646279  -0.0548226 ]"
officially,"[ 0.06738494 -0.04174314 -0.00884467 -0.04914811  0.02835472  0.01259548
 -0.03962225 -0.07798321 -0.04920982 -0.0389719  -0.00270186 -0.02141072
  0.06350884 -0.00464985 -0.00537906  0.00904071  0.10049862  0.1038258
  0.05064797 -0.01536435 -0.02701343  0.01459853  0.07846064  0.03038867
 -0.03446381 -0.0523963   0.04030686 -0.03608902 -0.04624627 -0.02223369
  0.01352349 -0.02504231  0.00151494 -0.02329285  0.0885547  -0.00500787
 -0.05811302  0.02651807 -0.01132386  0.0769686  -0.04768704  0.06572259
 -0.01609856  0.11621039 -0.11862746 -0.03396555  0.06422253 -0.05936207
  0.03209158 -0.05054573 -0.03345727 -0.02119866 -0.00117609  0.05927604
  0.08148459  0.01822279  0.07034546  0.00039468  0.01756624 -0.04214449
 -0.02832177 -0.05285359 -0.09895886 -0.00816312  0.05692728  0.04876802
 -0.0308428   0.05176921  0.02472766 -0.02554841  0.02519359  0.00128389
 -0.04308381 -0.01071765 -0.02272471 -0.07493193  0.00914457 -0.00561745
 -0.05238464  0.0994013   0.01871958 -0.00156285 -0.01758345  0.02705824
 -0.02865205  0.08032645 -0.00806124 -0.01131629  0.09253003 -0.02489896
  0.02637017 -0.05487566 -0.00606377 -0.04822227 -0.0141751   0.05287324
 -0.01073534 -0.02121275 -0.01328828 -0.04277811 -0.01765288 -0.05967892
 -0.00703375 -0.00266286  0.10029313 -0.00945614  0.0195759   0.00177394
  0.02245988  0.0810058  -0.00794103 -0.00524327 -0.07343914 -0.07482988
 -0.0383054  -0.04326913  0.06406961  0.00821041  0.01509793 -0.07254191
  0.05661087  0.05663331  0.02650554 -0.015192   -0.064385   -0.01093379
  0.00868601  0.04531498 -0.09195193 -0.00489064 -0.00846924  0.0039666
  0.05793566 -0.00444468 -0.08114394 -0.03607697 -0.02751257 -0.09938224
 -0.02277367  0.08407813 -0.00174364  0.00271046 -0.03722783 -0.00878842
 -0.00441638  0.00206107 -0.02310283  0.0501739   0.00315918 -0.07836024
 -0.05972287  0.04096424 -0.06800169  0.03918104 -0.0058346  -0.01357993
  0.02237644 -0.0540783  -0.0036867   0.00664255  0.02689018  0.0142987
 -0.02002009  0.0384049  -0.05731278 -0.09321992  0.009821   -0.01562545
 -0.05115169  0.02031358  0.02181693 -0.00048161 -0.1272706  -0.0101646
 -0.00531098  0.05193216 -0.01644412 -0.01450184 -0.06279122  0.0122509
 -0.02173901  0.00136011  0.00506692 -0.0755586   0.05089298  0.06156209
  0.00169496 -0.002171    0.03934113  0.05765768  0.0664844  -0.03300389
 -0.06872224  0.01704489 -0.02395714 -0.05375955  0.03804255 -0.01482745
 -0.01614285  0.04180285]"
the,"[ 0.08137043  0.10736923  0.1605245   0.05139163  0.15355553 -0.16318408
  0.00705511  0.08097935  0.09370446  0.05732593  0.03267783 -0.18302579
  0.10664709  0.11587472 -0.24561405  0.21343541  0.18924254  0.12716484
  0.16423386  0.10054781 -0.01552786  0.09687005  0.13641244 -0.19859977
 -0.26349673 -0.13933761  0.0643798   0.0136183  -0.16159227 -0.12103157
  0.20321624  0.10415196  0.18477914  0.05879902  0.16217962  0.19993722
 -0.07096592 -0.05256351  0.11265649  0.17092752 -0.06732325  0.11646987
 -0.19086479 -0.04835253 -0.08686805 -0.27243963  0.12557928 -0.2738331
  0.00268304 -0.08053501 -0.23711194 -0.23066933  0.20874248  0.21613424
  0.06130436 -0.19560032  0.1618136   0.00707726  0.15147702 -0.04711097
 -0.13254358 -0.04126627  0.00379604 -0.18665719  0.23478347  0.02196163
  0.22775315  0.18491068  0.24627274 -0.19721867  0.26256803  0.17739618
 -0.16223982 -0.22666001  0.22536924 -0.18079698 -0.22463615  0.1663268
  0.15949047 -0.20613055  0.17786334 -0.02969027 -0.07349835 -0.04811888
  0.02404489  0.21670306  0.15443574  0.05609312  0.1687119  -0.07192801
  0.06502875 -0.25745505  0.19761017  0.17318305 -0.21099105  0.15869564
  0.19225942 -0.25292423 -0.1135443  -0.03567069  0.14027077  0.13446054
 -0.1052869   0.09102532  0.1140713  -0.14488827  0.04207177  0.18646815
  0.06734877  0.14150468 -0.31135046  0.01467909 -0.15907079  0.0375773
 -0.21327159  0.21596615  0.11261538 -0.04844344  0.2234219   0.06141973
  0.03741186 -0.18326999 -0.10497072 -0.20095053 -0.18047775 -0.13961172
 -0.0904454   0.04550035  0.03685725 -0.1621962  -0.1656817   0.13595986
  0.11602511 -0.16006432  0.09821967  0.12364256 -0.15537831  0.16377546
 -0.14112662 -0.13059688  0.23370843 -0.25611207  0.02595969  0.08753153
  0.05151284 -0.08761405 -0.07509466  0.18612291 -0.26615128 -0.09695459
 -0.25028607  0.03636903 -0.20034255  0.17777897  0.1670555   0.27374634
  0.1270531  -0.03863737  0.04158838 -0.21996187 -0.21980624 -0.04932924
  0.19577897  0.06235955  0.06915432  0.09393589  0.16424038  0.02138191
 -0.10827488 -0.00994948 -0.1448715   0.17514272  0.00801603  0.13011639
 -0.18876418  0.0659587   0.05221804  0.19633336 -0.05782233  0.18966499
  0.10365483 -0.13343225  0.01166133 -0.10019111  0.165641    0.14346735
  0.10988063 -0.16365035  0.17719416  0.15810777  0.15552479  0.10102573
 -0.03442571  0.10647958 -0.1435417   0.06476638  0.09580167 -0.16195099
  0.09862253  0.0523106 ]"
republic,"[ 0.03397438  0.01467002  0.02626842  0.0344177   0.00312021  0.04791567
  0.07775474 -0.11238153  0.00222388  0.00193699  0.11978716  0.10374288
 -0.14087175 -0.04912592  0.14198753  0.08893505 -0.10954572  0.00271961
  0.01093183 -0.15562506 -0.03817375 -0.06161333 -0.03847622  0.0909478
 -0.01281468 -0.04958368  0.00314221  0.0232837  -0.00195895 -0.01498551
 -0.02854568  0.08792847  0.07179215 -0.04118698  0.06786183 -0.00920151
  0.02644224 -0.00503069  0.02096605 -0.10130912 -0.01409407 -0.00773295
  0.02351185 -0.05235302  0.0152611   0.08257201 -0.1001419  -0.03489043
 -0.05043757 -0.06315511 -0.06544881 -0.00190957  0.06804141 -0.0420508
 -0.00791583 -0.03822221  0.00394241  0.0090609   0.02282734  0.11146209
  0.06386832 -0.0387485  -0.11629629  0.00596545 -0.01534822 -0.00333337
 -0.02203647 -0.04812269  0.05899916  0.04463073 -0.01485558  0.03875292
  0.05391955 -0.0224508   0.07547773 -0.00292282  0.03802633  0.01906717
 -0.09783702 -0.00900795  0.01646151 -0.00288559  0.09204746 -0.02169453
  0.0054923   0.0503942  -0.09190302 -0.03560861 -0.04762279  0.07816202
  0.10039534 -0.014638    0.03289625 -0.00699208 -0.07176127 -0.05577173
  0.01431657 -0.02469101  0.0164863  -0.05441912  0.01783654  0.02576788
  0.07131481 -0.03732288  0.0119759  -0.02226055  0.06829938 -0.02159091
 -0.05283489  0.05601921 -0.02519879  0.05641101 -0.01609282 -0.03798596
 -0.01708146  0.03606004  0.00639154  0.05229823  0.06623785 -0.00210803
 -0.10646718  0.09345821 -0.00525755 -0.02472832  0.06568064 -0.06582303
  0.02981454 -0.09931581 -0.07317394  0.14741753 -0.0269451  -0.0992207
 -0.12285646 -0.08655637  0.13610575 -0.15158199  0.05592321 -0.08401758
 -0.06057669  0.0566492  -0.02382464 -0.00910336 -0.07458317 -0.08858822
  0.02143654 -0.05328047 -0.00457615  0.04455345 -0.0206698   0.00244852
  0.00277927  0.05100452 -0.03568683  0.0699717  -0.02398304  0.00829482
 -0.07836203 -0.00253649  0.08922756  0.02844725 -0.00877525  0.17622136
 -0.02993673  0.02960046 -0.06534848  0.06366413 -0.05144579  0.07658101
 -0.09096448  0.017658    0.03532945  0.03435935  0.09523457  0.03340738
  0.04823292 -0.15669431 -0.04285272 -0.02762326 -0.03139473  0.06745935
  0.00423762  0.00193919  0.03160024  0.04621874  0.06536872 -0.00389068
 -0.00757308  0.01655724 -0.01727812  0.04275048  0.01791013 -0.00292822
 -0.07110297 -0.00735987  0.16182053  0.02628778  0.02767348 -0.02503926
  0.00462373 -0.00163548]"
of,"[ 0.16163418  0.08253152  0.13725099 -0.05312094  0.0612426  -0.05509316
  0.01263142 -0.01923332  0.01301769 -0.00345975  0.12461793 -0.13039942
  0.01462939 -0.08202351 -0.07638778  0.1602347   0.12937784  0.05686266
  0.2146572  -0.09103549  0.07585917  0.11741291  0.11739703 -0.14979602
 -0.10767876 -0.15075114 -0.10038538  0.00617313  0.02272449  0.04528687
  0.0573977  -0.05708175  0.20461279  0.14771816  0.06017932  0.01693138
 -0.04536623 -0.00689826  0.10982765 -0.05628079 -0.08978689  0.12727302
 -0.02114004  0.03789195  0.01738988 -0.1231598  -0.00258717 -0.18939425
 -0.05819119 -0.11420114 -0.10200808 -0.08931534  0.16347453  0.15005788
  0.05793244 -0.04646786  0.0478962   0.0476145   0.1970623   0.04167614
 -0.01850891 -0.14488932  0.03273107 -0.05886437  0.14742187  0.16186641
  0.05417795  0.09995741  0.15263021 -0.11897328  0.07015564  0.12289075
 -0.08406834 -0.10274451  0.12320723 -0.00075686 -0.14969482  0.00530978
 -0.04144638  0.08238182  0.15290542  0.08797922 -0.00645341 -0.00356356
  0.16923045  0.04027919  0.00462235 -0.13472304  0.03063199  0.14564618
  0.16300562 -0.1608993   0.14823985  0.02137149 -0.20976521 -0.13094933
  0.06262838 -0.11940998 -0.13776574  0.01722579 -0.08175752  0.11383708
  0.00875195 -0.09174265  0.12135061 -0.04449951 -0.07290459  0.06480173
  0.11554768  0.19229135 -0.14409742  0.18412462 -0.01375388 -0.11638883
 -0.06698259  0.13976291 -0.06257333  0.18072136  0.16569777 -0.04427655
 -0.21330318  0.11107903  0.04869121 -0.13811028 -0.10273007  0.01531109
 -0.04088999  0.06452387  0.15914448 -0.05501959 -0.10689737 -0.02680164
  0.12216191 -0.220258   -0.10074665 -0.04349794 -0.05887318 -0.16878143
 -0.01901523  0.08437239  0.14357439 -0.10913973  0.0857498   0.10367845
 -0.09748417  0.00514274  0.02442574  0.1022413  -0.16489227  0.06049576
 -0.08201684  0.08458563 -0.1423766   0.10740173  0.0447994   0.13521387
 -0.08718663  0.0002711   0.08832633 -0.15589122 -0.1075274   0.05406551
  0.04714682 -0.00407143  0.14771338  0.03087353  0.10132053  0.16945446
 -0.18414272  0.12293167 -0.12493878  0.03142772 -0.00268443  0.05892142
 -0.06954709 -0.06033942 -0.14319341  0.01554709 -0.18734887  0.10870312
  0.02338474 -0.13444707  0.11341619  0.01408317  0.10887653  0.15687758
  0.10628695  0.0135121   0.13205288  0.10640249  0.08241194  0.07144059
 -0.08173072 -0.07358891 -0.05750139  0.06014361  0.1973629  -0.15623778
 -0.02120757 -0.05285159]"
република,"[ 0.01945103 -0.0304415   0.0258041   0.02039095  0.00616487  0.01376911
  0.08792809  0.00667402  0.04889328  0.02304764 -0.10293996 -0.02787077
 -0.03342658 -0.02161433  0.02922822  0.032592    0.09441714  0.01349448
 -0.00715502  0.0299454  -0.04279586 -0.02221114  0.03512273  0.00840392
 -0.03849995 -0.08184716 -0.03336139  0.03726823  0.060536    0.09906478
 -0.00758445 -0.03934378  0.03148497 -0.04254994  0.09389457 -0.02979547
 -0.05043509 -0.01958321  0.05279457 -0.08669305 -0.05071662  0.04009621
  0.03330499  0.02243676 -0.00864161  0.01415905 -0.11967171 -0.09608755
  0.00966271 -0.08673657 -0.00153714 -0.10308954  0.05564272  0.00675417
  0.03163591 -0.02528591  0.00948941 -0.04298613  0.00053899  0.04099916
  0.0535393  -0.0369633  -0.04029193  0.02972689  0.0584264  -0.01707687
 -0.05694361  0.01181685 -0.01727928 -0.01515884 -0.01015536 -0.01007892
 -0.03645781 -0.01945044 -0.02645522  0.019827    0.01031066  0.02988216
 -0.05695117 -0.02591901 -0.02032909  0.08239782 -0.06576158 -0.03411757
 -0.0100377   0.06649794 -0.04588079  0.01796616  0.03237696 -0.01809601
  0.04948059  0.00182833 -0.05862455  0.00703606 -0.03813294  0.02444215
 -0.0224057   0.00391637 -0.06481773 -0.02057915 -0.02847717  0.0410212
 -0.0338898   0.02368664  0.03709607 -0.04764225  0.02268178 -0.04656296
 -0.0566865   0.07772913 -0.03878972  0.10039171  0.06430487 -0.02122592
  0.01001163  0.0269964   0.03897758  0.08442742  0.04408269  0.05849814
 -0.08605313 -0.04217079 -0.03957615 -0.031709   -0.04479235 -0.01915418
  0.03150974  0.06403851  0.03182402 -0.01602093 -0.05241152 -0.00208873
 -0.0018304   0.05293604 -0.07211412 -0.08078349  0.0016654  -0.03216105
  0.04362774 -0.01780369 -0.000688    0.03452229 -0.0386747   0.01804576
  0.02415456 -0.04924143  0.02861297 -0.06197207 -0.01403388  0.07515258
 -0.00914773  0.00696474 -0.02813968  0.04716377 -0.04679986  0.05343722
  0.05187341 -0.02351591 -0.01395092 -0.02526118 -0.03923194  0.01918158
  0.00732416  0.06516808 -0.01249639  0.0515197  -0.03140949  0.03474569
 -0.08490241 -0.04297047  0.02932959 -0.01052135 -0.02306371 -0.00075631
  0.00584798 -0.05805512  0.00424267  0.04843089 -0.03446642  0.00409344
  0.00549653  0.00784257  0.02807401 -0.06725796  0.03812524  0.00957421
  0.05340477  0.06756452 -0.00337427  0.06037383 -0.00686572  0.04962961
 -0.05682573 -0.09673686 -0.01387088  0.03628214  0.036697    0.06740718
 -0.01584558  0.00079784]"
