key,value
and,"[ 0.10093982 -0.15740992  0.08334284  0.20437773  0.13327864 -0.1409764
  0.01549832 -0.13230696 -0.14532971 -0.10383794  0.18955     0.07256187
  0.05587139 -0.04253074 -0.01229907  0.10911676 -0.16410482 -0.0994584
 -0.04680231 -0.06356896 -0.12343616 -0.13338013 -0.09309328 -0.21323785
  0.08466119 -0.12461112 -0.03827412  0.08760695 -0.00145257  0.07675784
  0.18764283  0.01988045 -0.03183947 -0.04454316  0.03317074 -0.01331345
 -0.11094812 -0.03748649  0.0565602   0.04029746 -0.06440467  0.00205169
  0.03951102  0.15635736  0.10686424 -0.00434896 -0.15706225 -0.15526406
  0.06824218 -0.02897034 -0.04328648  0.06090631 -0.08923052  0.08932599
  0.06609172  0.09264393 -0.00551025 -0.05597666 -0.11279486  0.16623539
  0.06677262  0.11712124  0.11266023 -0.00853168 -0.03526587  0.12647401
  0.11052486 -0.05649573 -0.01396527  0.04560669 -0.10118198 -0.06278184
 -0.19338362  0.15969856 -0.13151301 -0.06008955 -0.05026331 -0.09070946
 -0.05837108 -0.00181277 -0.0475302   0.01221498 -0.03947739 -0.12490387
 -0.1456393   0.01127588 -0.00852937  0.15064393  0.03723615  0.184118
 -0.03073439  0.0250536   0.09514527  0.17136632 -0.04178319 -0.00163085
  0.13327958  0.11786216 -0.15793891 -0.16286945  0.0234627   0.14317542
  0.03229601 -0.07092953  0.08856983  0.11622235  0.11659585  0.08645726
 -0.11160552 -0.09644613  0.10804511  0.12748033 -0.03049033  0.04993253
  0.03210623  0.17701049 -0.04435318 -0.11400153 -0.16918162 -0.10628323
  0.15720336 -0.00203615 -0.03499527  0.00796461  0.10728952  0.08340562
  0.14307581 -0.01475277 -0.07857436 -0.14579773 -0.06584127 -0.01512541
 -0.12256983 -0.03371188 -0.08610193  0.17840905 -0.07249195 -0.00968091
  0.07047822  0.11978396  0.07787346 -0.05935325 -0.0378265   0.0273864
  0.05214515 -0.03377968 -0.12630333  0.08110197  0.11845082 -0.07785318
  0.18616173  0.06992737  0.14099663  0.15756105  0.0038008   0.09153272
 -0.0551687   0.01507302 -0.09816393  0.0597432  -0.02757252  0.0599213
  0.11443218  0.18939808  0.15368806 -0.12281956 -0.00769322 -0.04114289
 -0.0555558   0.13462904 -0.1269659  -0.13506204 -0.10589325  0.13674094
 -0.12191071  0.041279    0.13670434 -0.17861839 -0.15078025  0.13873835
 -0.13546851 -0.10010178  0.07727966 -0.04115155  0.11584017 -0.1432239
  0.07261837 -0.05681897 -0.15764984 -0.07763309  0.08132181 -0.09460839
  0.03125398  0.13866384 -0.13897748 -0.10809942  0.10975891 -0.01030679
 -0.125854    0.01341518]"
natural,"[ 0.06697938 -0.06282707  0.16400501 -0.00563462  0.09460347 -0.0931198
  0.01375235 -0.08512919 -0.05457093 -0.08226719  0.03898358  0.08314537
 -0.1399393  -0.11555698 -0.06136077  0.13943626 -0.04952604 -0.09298166
 -0.10461123 -0.0914903  -0.06372158 -0.04869868 -0.15228815 -0.01110207
  0.00850491 -0.16727291  0.04365894  0.01280687 -0.00567592 -0.05086149
 -0.00248177  0.01349548 -0.031198    0.10414492 -0.00698928 -0.13403307
 -0.13246444 -0.10901745  0.02492556  0.02126797 -0.01270225  0.00714246
  0.05847849  0.09540898  0.07612253 -0.1133192  -0.00377761 -0.13531104
 -0.01445637 -0.08443287 -0.15801483  0.0703661  -0.0838447   0.02985791
 -0.09064865  0.08429402 -0.0005296  -0.04084833  0.07530715  0.02275164
  0.00821375  0.13900398 -0.03616035 -0.007296   -0.05703951  0.06945387
  0.07957052 -0.06291617 -0.05392201  0.05513905  0.07542522 -0.09965724
 -0.03376686 -0.04231721 -0.07766373 -0.08982542 -0.0630663   0.06108795
 -0.06062354 -0.14154688 -0.04083291  0.03786291  0.03170982 -0.14358751
 -0.05777734 -0.16007888  0.19444026  0.06804227 -0.00520308  0.06852097
 -0.0621069  -0.14162907  0.1476953   0.0284265   0.12493204 -0.06479666
  0.06795047  0.12700596 -0.08942682 -0.14894079 -0.0532566  -0.00196968
  0.02868016 -0.01937686  0.09712116  0.13422485 -0.00486088  0.06205444
 -0.0753156   0.00398298  0.15152904 -0.00312457  0.0248486   0.10851688
  0.05513194  0.03503601  0.10456452 -0.11547678  0.03918514 -0.07450925
  0.04494172 -0.10770374 -0.18645768  0.05286555  0.11466383  0.1319153
  0.04560439  0.04229807 -0.121111    0.01707576 -0.18718763  0.02398319
  0.0854909  -0.03565899  0.04538812  0.12920193 -0.11315535  0.05294785
  0.09362285 -0.0738152   0.06859121 -0.17159398 -0.03786143  0.03820524
  0.14365926  0.07997682  0.01532944  0.0839667   0.01320039 -0.08942071
  0.1032491   0.00840653  0.05460403  0.07045228 -0.11123439 -0.07649819
  0.0266381  -0.06090761  0.03418033  0.05700293  0.10452383  0.10046113
  0.05983825 -0.04640669 -0.01619044 -0.04153446 -0.11052684 -0.17626439
 -0.15062092  0.13873516 -0.08700831 -0.04338712 -0.11774873  0.0350366
  0.0073044   0.02508791  0.00244775 -0.04071341 -0.05900583  0.04351324
 -0.06486508 -0.11337135 -0.09051587 -0.07481464 -0.00225818 -0.08832759
  0.09703397 -0.02870406 -0.05801312  0.02755988 -0.00489496 -0.09683313
 -0.161103   -0.01391345 -0.0596813  -0.03843462 -0.01687529  0.08444969
  0.02802549 -0.07859618]"
language,"[-0.06159943 -0.02844944  0.04210298  0.10301323  0.14104712  0.00392424
  0.0475475   0.01611033 -0.02114036  0.01603723 -0.06448875 -0.0040461
 -0.07005981 -0.07509536  0.1062736   0.07824472 -0.15390489  0.159359
  0.02598404 -0.06008432  0.08817314  0.07721876 -0.13380279  0.0054972
  0.11825839 -0.07459923 -0.02321912 -0.06375794  0.02055844 -0.16349119
 -0.0300772  -0.00336009 -0.08044827 -0.06346947 -0.03901506  0.00304096
 -0.02718523  0.03220901  0.15463881  0.03932661 -0.13749254 -0.08161389
 -0.07292483  0.03560963  0.00670716  0.00453235  0.12588768  0.01622893
 -0.04795956 -0.10039591 -0.0046413  -0.1533102   0.02088665  0.09410859
  0.01607104  0.08898127 -0.18172519  0.10576215 -0.06635214 -0.01008845
 -0.01561365  0.03750883 -0.01622432  0.05829107  0.00501701  0.01976383
  0.08464423 -0.15031208  0.01266376 -0.09735969 -0.07350564  0.0402687
  0.00584397 -0.06777199  0.0899089  -0.07707606 -0.01392765 -0.0283672
  0.06333793 -0.00178356 -0.07774587  0.10812448 -0.19036067 -0.07759807
  0.04807455 -0.05126536 -0.12032147  0.01433914 -0.03900447  0.01870989
  0.0806054   0.05624218  0.04697919  0.03131384  0.06392316  0.0837527
 -0.02730316 -0.04188107  0.10679093  0.01401786  0.05434168  0.05956582
  0.05286654  0.0977855   0.033471    0.02049933  0.05146903  0.0899241
  0.00775322 -0.08137868  0.08830996 -0.08861555  0.11370896 -0.02411183
  0.04847034  0.0384775   0.05146175  0.1831806   0.09165669 -0.07443693
 -0.01211469 -0.04245532 -0.01274408  0.02389647 -0.12746374  0.14535527
  0.01069186  0.1080294   0.11246599 -0.02433939 -0.00991966  0.05758264
 -0.0018487   0.05297469 -0.08966801 -0.04986139 -0.11644703 -0.11544289
 -0.01647194 -0.02077064  0.0681456  -0.02838241 -0.01836986 -0.06677547
  0.01248633 -0.01957515 -0.11104781 -0.07642084  0.07453699 -0.070554
  0.03606212 -0.13014741 -0.03515784  0.13872595 -0.05335437 -0.10489953
 -0.0668476   0.17245147 -0.00140454  0.03259424 -0.00684334 -0.00839987
 -0.13517846 -0.09744765 -0.06514739 -0.10577616 -0.00158064  0.01090633
 -0.10379381  0.08924469 -0.04212464 -0.08760665 -0.04491138  0.12129258
 -0.10991657  0.1261779   0.09341133 -0.05807772 -0.15189151 -0.07294653
  0.04399485  0.02341437 -0.11334745  0.12459964  0.04559914 -0.02974708
 -0.03955869 -0.00160961  0.03208278 -0.02669687 -0.04294992 -0.07401645
 -0.03296792 -0.04880195 -0.08125888  0.01983903  0.11485026 -0.10455454
  0.11811528  0.01346097]"
processing,"[ 0.04929749 -0.11593974  0.142518    0.07339498  0.10454252 -0.10068703
  0.10387561 -0.07278525 -0.12603302 -0.02867395 -0.02418455  0.08902683
 -0.03650371 -0.07607692 -0.10847811  0.10745402 -0.09889787 -0.04033712
 -0.02374221 -0.06504869 -0.03938092 -0.12130247 -0.12293195 -0.01815812
  0.02375419 -0.13632512  0.07830024  0.08588489  0.0899078   0.03452416
  0.11729251  0.07486316 -0.10539588 -0.07260975 -0.00140213  0.01780424
 -0.12208907 -0.1182657   0.04122074  0.06756704 -0.07353429  0.01468108
  0.06570536  0.06763877  0.1390588   0.09937251 -0.03885245 -0.0710234
  0.05943604 -0.09427411 -0.04524502 -0.03553095 -0.14518417  0.10771711
  0.01442834  0.13005589 -0.02236271  0.09392676  0.02501684  0.08184152
  0.02959878  0.11874036  0.11497711 -0.03119573 -0.09737293  0.04961028
  0.08690273 -0.03065182  0.01701642 -0.01464084 -0.07716454 -0.1208501
 -0.12054105  0.08997194 -0.06661825 -0.07125749 -0.07893298 -0.04086717
 -0.08844691 -0.06072224 -0.08297236 -0.06351031 -0.04392135 -0.12745312
 -0.09601983 -0.05662928 -0.05339478  0.1547273   0.13314138  0.15867911
  0.08981559  0.02733077  0.0812232   0.09837776  0.02678491 -0.07682326
  0.09408996  0.09552614 -0.06065777 -0.1672533   0.12800871  0.04907028
  0.06870629 -0.11640406 -0.02029023  0.1338305   0.14542308  0.04812372
 -0.16383259 -0.09772545  0.07418766 -0.10096966  0.0445587   0.03711202
 -0.02789522  0.08376417  0.09387212 -0.00379107 -0.1002265  -0.05309314
  0.10326525  0.02665059 -0.09473937  0.02980789 -0.02905571  0.16166845
  0.07978596  0.00848525 -0.05175291  0.0145154  -0.08898089  0.1117781
  0.05405379 -0.03055744 -0.01678914  0.12565161 -0.14924751 -0.08873441
  0.09415397  0.02825882  0.07623016 -0.08237099 -0.13624339 -0.01253848
  0.08599895 -0.06836617 -0.07080617  0.04115878  0.07390379  0.00189661
  0.07207091  0.09610245  0.11126468  0.09227148  0.06697187 -0.01732499
 -0.03814198  0.08192707  0.00464035  0.12631042 -0.04524947  0.04068826
 -0.0758227  -0.00041356  0.07272267  0.02472105  0.04349004  0.00676039
 -0.11295657  0.14324199 -0.03645572 -0.03121676 -0.07833118  0.11932006
  0.02657205  0.05450902  0.04711434 -0.08360919 -0.0566511   0.07634236
 -0.11601958 -0.16026425 -0.05936391 -0.10738648  0.11805087 -0.17754981
  0.02883857 -0.08030669 -0.02136423 -0.11338922 -0.0388698  -0.13600995
  0.00201159  0.10950751 -0.11214119 -0.06369298  0.11921329 -0.05752153
  0.01380016  0.03757885]"
machine,"[ 0.00548585 -0.11545207 -0.00471242  0.04746373  0.16225122  0.00256718
  0.00950605 -0.09993373 -0.04139081  0.04332702  0.00489864  0.07594571
 -0.03474537 -0.0648628   0.06059929  0.08828003 -0.1525647  -0.01677401
 -0.11518107  0.09315703 -0.05587446  0.00738556 -0.07332962 -0.05887187
  0.08980617 -0.0748483  -0.12612377  0.07609043  0.07510719 -0.03618542
  0.08898733 -0.10551129 -0.06376203 -0.0739832  -0.02709244 -0.06492396
 -0.00190607  0.00920272  0.13528225  0.10501881 -0.03922961 -0.1627521
 -0.07024199  0.05215127  0.0479895   0.11492398  0.03393614 -0.08242828
 -0.0109006  -0.11566398  0.04883261 -0.06011385 -0.01169776  0.13782142
  0.01744249  0.00295195 -0.04241526  0.02192882 -0.120207   -0.00307495
 -0.01988113  0.04950855  0.02219349 -0.02038827  0.03084048  0.02046134
  0.10383461 -0.06834368  0.09139924 -0.07765601 -0.14029285  0.05173608
  0.02883272  0.03881952 -0.05167343 -0.10618135 -0.050074    0.01609289
  0.01717335  0.11733839 -0.12481797  0.07026659 -0.02658218 -0.14162356
 -0.07493518  0.01383604 -0.12033779  0.05329839  0.1030589   0.05041108
 -0.00531021  0.009503    0.11079872  0.07118585  0.05346989  0.08061562
  0.03913705  0.03081715 -0.0344512  -0.03659545  0.08730652 -0.05595183
  0.04966255  0.02599025  0.0347367   0.12429856 -0.02106384  0.12606445
 -0.0380252  -0.13877718  0.09181479 -0.00691642  0.11366664  0.03772004
 -0.03208662  0.06000818 -0.00590736  0.01897895 -0.06592626 -0.13165036
  0.02644661 -0.08522165 -0.1317918   0.00438326 -0.07915534  0.0827451
  0.03664435  0.08629452  0.0044923   0.0145777  -0.00122716  0.04407019
 -0.11620282 -0.00111841 -0.14795335  0.07015606 -0.09063496 -0.06591076
  0.11858416  0.02297253  0.12868726 -0.00718958 -0.08510035 -0.00443914
  0.03198849  0.0522572  -0.11124458 -0.0350229   0.08627441 -0.08437654
  0.04367759 -0.05059852  0.07122993  0.16342263  0.078845    0.03287049
 -0.12355753  0.12499703 -0.03050683  0.03432027 -0.16959573  0.02183145
 -0.01957134  0.00186631 -0.04188565 -0.08707597 -0.07365854 -0.01849566
 -0.14240137  0.1631321  -0.12682539 -0.10515675 -0.07759603  0.07694294
 -0.04475958  0.14049503  0.11231121 -0.04115234 -0.1569117  -0.02117847
 -0.05683494  0.05851115  0.01577277  0.05105451  0.09561922 -0.06000441
  0.03598638 -0.12132303 -0.05593734 -0.06094445 -0.01670054 -0.07996381
  0.09583499 -0.08991326 -0.08296508 -0.01898836  0.15294649 -0.06937118
 -0.01331096  0.05217451]"
learning,"[-2.30904948e-02 -1.04482897e-01  5.36588803e-02 -9.17167142e-02
  5.61188273e-02  8.99917068e-05  1.83422510e-02 -8.77582878e-02
 -3.57615314e-02 -3.78805175e-02 -1.86955892e-02  8.45363215e-02
 -4.00334299e-02 -1.24343507e-01 -4.40328568e-02  1.19578712e-01
 -2.74475422e-02 -8.08406062e-03 -6.09111823e-02  4.21990678e-02
 -8.19395781e-02  2.45136973e-02 -9.02265981e-02  5.25561385e-02
 -5.16095292e-03 -1.50974184e-01 -6.19858950e-02 -2.65019909e-02
  5.94658479e-02 -2.32165437e-02 -4.16418873e-02 -2.82858219e-02
 -1.61643885e-02  1.10098369e-01 -8.36946964e-02 -7.11954683e-02
 -1.35014564e-01 -5.56665324e-02  1.07164010e-02  1.05372570e-01
 -4.73004431e-02 -1.34048387e-01 -9.31863859e-02  1.67702083e-02
  8.67043957e-02 -2.05537714e-02  6.37729838e-02 -5.36201075e-02
 -1.15686096e-01 -7.49159604e-02 -1.11722611e-01  1.30049782e-02
 -1.01210708e-02  1.21284083e-01 -1.19644918e-01  8.02608952e-02
 -2.70255506e-02 -1.30709466e-02  2.52009518e-02 -4.41879258e-02
  2.18200162e-02  5.27643859e-02 -1.31189749e-01  4.60872054e-02
 -1.40061639e-02  1.04376860e-02  4.31994386e-02 -1.03330798e-01
  7.33123198e-02 -2.16708109e-02  8.39659944e-02 -3.32135297e-02
 -2.43283343e-02 -1.01102635e-01 -7.78224617e-02 -7.20302910e-02
 -1.95894577e-02 -7.67642120e-03  2.30416358e-02  6.02697469e-02
 -4.42759581e-02 -1.79207578e-04 -5.81072420e-02 -1.07778087e-01
 -2.20407695e-02 -1.00439332e-01  1.06478490e-01  7.56932348e-02
 -4.06754762e-02 -5.93323214e-03  1.82061419e-02 -2.78973896e-02
  1.08478986e-01 -1.86889134e-02  5.57967648e-02 -5.69977015e-02
 -3.60954218e-02  7.48506412e-02 -8.21670964e-02 -9.29934904e-02
 -4.45196517e-02 -1.09302342e-01  7.20531568e-02  4.56094444e-02
  8.87147933e-02  1.77754343e-01 -8.91433749e-03  8.36713240e-02
  4.11296822e-02 -1.11007161e-01  1.03739448e-01  2.73365099e-02
 -3.56422109e-03  8.43244139e-03  1.29279429e-02  7.35040307e-02
  6.48742840e-02 -4.71937004e-03  3.19746956e-02 -4.17803340e-02
  5.97492903e-02 -1.10103220e-01 -1.39782935e-01 -3.25393155e-02
  3.94944735e-02  7.50854462e-02  8.68597329e-02 -1.50921345e-02
 -8.65528435e-02  6.72983527e-02 -3.72569151e-02 -5.49890175e-02
  2.63026189e-02  4.71314266e-02  4.72664926e-03  3.25913690e-02
 -6.10165261e-02  3.41407806e-02  1.09660514e-01 -9.63707268e-02
  8.72639269e-02 -8.49852934e-02 -4.64689732e-02  7.97163323e-02
  1.30274981e-01  1.69105843e-01 -5.74022830e-02 -2.87807360e-02
 -8.60177949e-02 -1.00818343e-01  4.25553992e-02 -7.82104731e-02
  9.67260897e-02  1.47794887e-01  2.24599186e-02 -4.78600636e-02
  1.43836327e-02  4.44823764e-02  8.96036252e-02 -1.81321874e-02
 -7.26847574e-02 -7.26102339e-03  1.10096224e-02 -2.08342448e-02
 -1.26456276e-01  3.12940665e-02 -1.26332611e-01 -7.94641748e-02
 -1.52894363e-01  7.99274296e-02 -1.65620655e-01  4.39488739e-02
 -1.22662365e-01  1.75656825e-02  8.12687799e-02  5.88086806e-02
  3.38431150e-02 -1.57386158e-02 -1.18390031e-01  1.03184566e-01
 -2.70125698e-02 -1.56278685e-02 -1.89958252e-02 -2.98534073e-02
  2.71360110e-02 -8.99034366e-02  9.56200063e-02 -1.17430635e-01
 -3.81260961e-02  4.71458100e-02 -7.39146024e-02  3.89169417e-02
 -6.70472383e-02 -6.68227300e-02 -1.02837369e-01  8.80426317e-02
  7.19493330e-02  5.82205430e-02  2.49499269e-02 -6.78946227e-02]"
is,"[ 0.03326954 -0.1756146   0.03949221  0.02522838  0.0984672   0.06975508
 -0.01455601 -0.09230591 -0.10669737  0.04784616 -0.0233833   0.14720607
 -0.12465835 -0.16049226 -0.01729079  0.05566844 -0.08568653  0.01617773
 -0.1561367  -0.02973264 -0.10944173  0.07644083 -0.14938205  0.04925803
  0.0548462  -0.14707546 -0.00438486  0.03043166  0.0151616  -0.09831529
  0.00245258 -0.15249093 -0.01746666  0.10536136 -0.1427379  -0.0862532
 -0.15521695 -0.08351951  0.145438    0.1755019  -0.13554552 -0.1719237
 -0.0323713   0.09242963  0.07230026 -0.04398194  0.01556917 -0.03506073
 -0.03394301 -0.1469068  -0.12341058 -0.05625125  0.05793866  0.11317842
  0.00339297  0.09518968 -0.1051481   0.03611699 -0.01015068 -0.07179341
  0.0876969   0.17509541 -0.01142078  0.04381946  0.05274135  0.06135384
  0.11818232 -0.17559934  0.07388291 -0.03364261  0.02708131 -0.11429939
 -0.0020681  -0.07411703 -0.09376879 -0.13665392 -0.13596879  0.03417263
  0.02935383  0.07238864 -0.10034633  0.09103523 -0.129185   -0.1429944
 -0.03659239 -0.06736837 -0.06768098  0.11270483 -0.01959528  0.01443074
 -0.02377913  0.04778475  0.15741825  0.10485405  0.10562809 -0.07525589
  0.12108303  0.11078957 -0.06773718 -0.04627929 -0.03665483  0.04418008
  0.0672365   0.02135652  0.0675448   0.16328235 -0.03308985  0.1276361
  0.05078948 -0.13248579  0.16245033  0.07127787 -0.04071053  0.12131052
  0.08516119 -0.02463881  0.10938596 -0.01582563  0.00447119 -0.15083426
  0.03175785 -0.1889217  -0.17280826 -0.07747749  0.01337329  0.04852866
  0.07453226  0.09273186 -0.02689125 -0.02670068  0.04049307 -0.00152029
 -0.05666666  0.0255952  -0.11840906  0.00745112 -0.11187856 -0.05190229
  0.13913302 -0.08334604  0.13584529 -0.08556248 -0.06355871  0.1190607
  0.15915401  0.08521967 -0.07006     0.03493101 -0.05880181 -0.18685333
  0.02381749 -0.19280545  0.08743565  0.18111552  0.1039896   0.0030906
 -0.15685081  0.08353867  0.01217173  0.04155653 -0.05103438  0.03492295
 -0.04850893 -0.08500077 -0.13329391  0.04725955 -0.16271721 -0.00658046
 -0.10449481  0.15700886 -0.15738301 -0.10077589 -0.12998344  0.08386657
 -0.04646076  0.14012498  0.1003722  -0.12081712 -0.12076723  0.06403615
  0.02910295  0.0315185   0.01605898  0.02054322 -0.01217099 -0.05659981
  0.10720158 -0.05887121  0.03173986 -0.00937546  0.01121076 -0.0739208
 -0.0564113  -0.08203769 -0.0500107   0.11968799  0.0787705   0.12863885
 -0.03816149 -0.0856162 ]"
fun,"[ 0.17618728 -0.20313692  0.07575202  0.12865838  0.04121104 -0.03696793
  0.18678783 -0.12576833 -0.12192693 -0.04513998 -0.01662505  0.13347067
 -0.04444045 -0.16784932 -0.11765615  0.14111245 -0.03044798  0.00721003
 -0.1968219  -0.12392725 -0.10235029 -0.05896728 -0.08594435  0.01284442
  0.12151566 -0.18904583  0.16555583 -0.01016981  0.07049569  0.02958968
  0.10727055  0.04765781 -0.13760804  0.03960358 -0.03095962  0.05054018
 -0.17085691 -0.16951188  0.16525738  0.20074292 -0.18706615 -0.08209126
  0.11537268  0.16394472  0.19040683  0.02532167 -0.00109186 -0.0381565
  0.07062919 -0.1948785  -0.12146071 -0.1028402  -0.16032131  0.04807186
  0.11452816  0.11703772 -0.17197469  0.10557658  0.00920754  0.02257555
  0.18030627  0.12187985  0.07001139  0.01590599 -0.03225892  0.06407744
  0.15194522 -0.2085325   0.06835225 -0.06700158 -0.06118686 -0.184625
 -0.11473131  0.05017835 -0.14167653 -0.15491056 -0.13855523 -0.09010554
 -0.11229017  0.01477052 -0.12969844  0.01562232 -0.08340747 -0.16721539
 -0.14423189 -0.2175273  -0.08477101  0.1438941   0.11285394  0.16175826
  0.12370242  0.11704858  0.10490559  0.07491946  0.06726746 -0.15206833
  0.13630874  0.1579157  -0.06594412 -0.07755616  0.01587212  0.1318307
  0.14976121 -0.14083144 -0.07602669  0.12255052  0.10878346  0.11081383
 -0.07700503 -0.07654002  0.21176782  0.00913681  0.01299871  0.16192253
  0.12164657  0.02337103  0.17691095  0.04974058 -0.04008912 -0.20898905
  0.16526195 -0.07357838 -0.11332908 -0.00047343 -0.03103648  0.22395928
  0.1322678   0.10740454 -0.04036417 -0.06321612  0.04052342  0.18035944
  0.02621257  0.07202917 -0.16666134  0.0632324  -0.18817581 -0.15634696
  0.13941394 -0.04751045  0.17989649 -0.07591378 -0.21251966  0.12459225
  0.18136969 -0.07858101 -0.09761345  0.13665509  0.08917811 -0.17016362
  0.07844908  0.03788073  0.13999884  0.12848754  0.14269733 -0.10417978
 -0.15223098  0.05920249  0.02135499  0.16966377 -0.01059994  0.16327931
 -0.09780203 -0.02282057  0.0419336   0.0824399  -0.05588198  0.13767363
 -0.11336274  0.1872942  -0.04284714 -0.15300733 -0.04709228  0.19528529
 -0.06570271  0.14007519  0.13399702 -0.13083883 -0.15264134  0.06781178
 -0.06768731 -0.12665176 -0.01972135 -0.09614802  0.04770018 -0.14019734
  0.18052575 -0.02191219  0.07923307 -0.17210644 -0.01105603 -0.13337919
 -0.03073817  0.01502371 -0.07495645  0.00631916  0.10815712  0.01875942
 -0.06007919 -0.12482741]"
exciting,"[ 8.10191706e-02 -1.65049195e-01  5.27930772e-03  1.16967633e-02
  4.25794423e-02  1.95203349e-03  7.70858154e-02 -5.28299883e-02
 -7.22403303e-02 -7.48840794e-02 -3.05703422e-03  1.62381664e-01
 -4.03512120e-02 -7.43603259e-02 -4.00309674e-02  7.19497129e-02
 -2.18935404e-02 -5.20116352e-02 -1.53086677e-01  1.33266551e-02
 -2.16073412e-02 -8.51443678e-04 -6.88337982e-02 -2.57337335e-02
  6.09221011e-02 -6.40890896e-02 -7.66739389e-03  1.46969119e-02
  1.39939293e-01  3.38338763e-02  5.99260069e-02 -6.71407729e-02
 -8.77619162e-02  3.26427445e-02 -9.48444083e-02  8.31873249e-03
 -1.28686681e-01 -9.60917696e-02  1.16384476e-01  9.81579572e-02
 -7.86611959e-02 -8.87712464e-02 -8.35961923e-02  5.69384322e-02
  9.71479192e-02  2.96122804e-02  5.02109602e-02 -9.82025638e-03
 -2.19167043e-02 -8.32146704e-02 -2.99375448e-02 -2.05611661e-02
 -4.48164418e-02  2.39470787e-02  2.62219980e-02  5.40318973e-02
 -9.50931534e-02  1.03349518e-02  1.15593560e-02 -3.47866677e-02
  6.57773018e-02  1.12456612e-01  1.48402164e-02  1.37751279e-02
 -4.05841731e-02 -1.25640007e-02  9.14099663e-02 -1.12333089e-01
  8.36758539e-02 -8.18863809e-02 -9.17210896e-03 -9.71828625e-02
 -5.79586662e-02  4.76704724e-03 -6.21918030e-03 -8.73926282e-02
 -5.58662377e-02  1.20865237e-02 -4.99237217e-02  1.15693100e-02
 -1.14845932e-01 -4.42380458e-03 -4.51891311e-02 -1.71426073e-01
 -1.05326496e-01 -4.87047695e-02 -1.38902175e-03  1.04527198e-01
  9.56789628e-02  1.94625277e-02 -6.45457348e-03  6.14943989e-02
  4.67026010e-02  4.55895364e-02  3.01057380e-02 -6.81615174e-02
  7.33581483e-02  1.00398883e-01 -1.97479110e-02 -9.98230800e-02
 -1.77915394e-02 -2.20732335e-02  6.23312630e-02 -2.46440265e-02
 -2.34058946e-02  1.58279717e-01 -4.70662601e-02  6.37206286e-02
 -4.42580553e-03 -8.62524286e-02  6.44305795e-02 -6.30762009e-03
  1.55111793e-02  1.08829513e-01  7.49764517e-02  9.22867912e-06
  5.60178347e-02 -3.92238684e-02  3.61053534e-02 -6.84240758e-02
  7.70348981e-02 -6.95458502e-02 -1.59945071e-01 -5.88543341e-02
  4.96368296e-03  1.42626641e-02  9.79103744e-02  4.73585725e-02
 -4.68541123e-02  3.82629335e-02  2.26933341e-02  1.62166823e-02
 -5.64023480e-02  6.64325282e-02 -7.15278462e-02  4.71699871e-02
 -1.07451402e-01 -3.87472250e-02  1.54643580e-01 -2.58380622e-02
  1.53773084e-01 -5.55972233e-02 -1.21995158e-01  7.37392679e-02
  5.17067984e-02  6.37106821e-02 -1.02082573e-01  5.58242872e-02
  3.66913341e-02 -1.51142910e-01 -1.24367457e-02  1.33284321e-02
  6.40029907e-02  1.43954277e-01  7.15554059e-02 -2.15343628e-02
 -8.35493878e-02 -7.43042259e-03 -2.10735369e-02  1.24359682e-01
 -6.81790113e-02  8.53659138e-02 -5.85357174e-02 -1.40304398e-02
 -4.02931459e-02  1.75534114e-02 -2.25672312e-02  4.47391085e-02
 -1.82979181e-01  7.73156434e-02 -3.36370468e-02 -5.49111217e-02
 -8.68759006e-02  4.65078428e-02 -2.21589040e-02  9.35537741e-02
  8.71547610e-02 -3.51209417e-02 -1.47090390e-01  6.53012395e-02
 -6.99371025e-02 -2.93749142e-02  2.94939801e-02 -2.93192137e-02
  5.63392090e-03 -1.30600914e-01  1.68183580e-01 -4.73687015e-02
  9.26442165e-03 -1.30889684e-01  5.73196914e-03 -1.81621779e-02
  2.96153687e-02 -4.94448207e-02 -8.57581943e-02  2.38392390e-02
  1.07083485e-01  4.38786224e-02  4.06286418e-02 -5.13539650e-02]"
